"date","close","volume","open","high","low"

"2019/05/31","275.2700","86862780.0000","276.2000","277.1200","275.2400"
"2019/05/30","279.0300","62523780.0000","279.1100","280.0400","277.8050"
"2019/05/29","278.2700","104972900.0000","278.9100","279.3600","276.7100"
"2019/05/28","280.1500","70029360.0000","283.0900","284.1500","280.1300"
"2019/05/24","282.7800","55268100.0000","283.7400","284.2000","282.0900"
"2019/05/23","282.1400","98733850.0000","283.1600","283.2100","280.5700"
"2019/05/22","285.6300","49482470.0000","285.4500","286.6900","285.1000"
"2019/05/21","286.5100","46847090.0000","285.8300","286.9300","285.5500"
"2019/05/20","283.9500","62877610.0000","284.0600","285.4300","283.1200"
"2019/05/17","285.8400","100353000.0000","285.1400","288.6000","285.1210"
"2019/05/16","287.7000","76749640.0000","285.8400","289.2100","285.7600"
"2019/05/15","285.0600","73956410.0000","281.5900","285.7700","281.3600"
"2019/05/14","283.4000","77003230.0000","281.9900","285.1000","281.8500"
"2019/05/13","280.8600","127290500.0000","282.4200","283.4900","279.9300"
"2019/05/10","288.1000","112429300.0000","285.6200","288.9400","282.3000"
"2019/05/09","286.6600","103471100.0000","285.2300","287.3300","283.3000"
"2019/05/08","287.5300","91568290.0000","287.5300","289.4300","286.8700"
"2019/05/07","287.9300","144729900.0000","290.1500","290.8100","285.8100"
"2019/05/06","292.8200","107198100.0000","289.2500","293.3100","288.9000"
"2019/05/03","294.0300","56543650.0000","292.8200","294.3400","291.3000"
"2019/05/02","291.1800","65030170.0000","291.6800","292.7000","289.5200"
"2019/05/01","291.8100","71671870.0000","294.7200","294.9500","291.8000"
"2019/04/30","294.0200","78594690.0000","293.4900","294.3400","291.9200"
"2019/04/29","293.8700","57043380.0000","293.5100","294.4500","293.4100"
"2019/04/26","293.4100","50868100.0000","292.1000","293.4900","291.2401"
"2019/04/25","292.0500","57578550.0000","292.1200","292.7800","290.7300"
"2019/04/24","292.2300","49470960.0000","292.7900","293.1600","292.0700"
"2019/04/23","292.8800","52136160.0000","290.6800","293.1400","290.4200"
"2019/04/22","290.2700","39992680.0000","289.1700","290.4350","289.0700"
"2019/04/18","290.0200","68662280.0000","290.1000","290.3200","288.6600"
"2019/04/17","289.4500","58028490.0000","291.4000","291.4250","288.9900"
"2019/04/16","290.1600","52066270.0000","290.9500","291.0100","289.5000"
"2019/04/15","289.9700","49795630.0000","290.2400","290.3500","289.0750"
"2019/04/12","290.1600","69638530.0000","290.0000","290.4700","288.2610"
"2019/04/11","288.2100","54940520.0000","288.8300","288.8400","287.5780"
"2019/04/10","288.2900","52463390.0000","287.7700","288.3899","287.3100"
"2019/04/09","287.3100","66072820.0000","287.7200","288.0800","286.7000"
"2019/04/08","288.7900","53462150.0000","288.1000","288.9100","287.3700"
"2019/04/05","288.5700","58454610.0000","287.9200","288.6300","287.6000"
